split,map_name,agents,seed,iteration,checkpoint_id,target_rule,target_best_rule_id,delta_best_rule_id,second_delta_rule_id,candidate_count,harmful_candidate_count,best_delta_ratio,second_delta_ratio,best_minus_second_margin,best_minus_additive_margin,best_minus_neutral_threshold,label_delta_ratio_best,label_confidence,neutral,within_0_001_count,margin_le_0_001,within_0_0025_count,margin_le_0_0025,within_0_005_count,margin_le_0_005,within_0_01_count,margin_le_0_01,within_0_02_count,margin_le_0_02,within_0_05_count,margin_le_0_05
train,empty-16-16,50,1,0,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,wait_light,wait_light,wait_light,block_heavy,8,0,0.077519379845,0.0426356589147,0.0348837209303,0.077519379845,0.072519379845,0.077519379845,0.077519379845,0,1,0,1,0,1,0,1,0,1,0,3,1
train,empty-16-16,50,1,1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,wait_heavy,wait_heavy,wait_heavy,block_heavy,8,0,0.244186046512,0.21511627907,0.02906976744199999,0.244186046512,0.23918604651199998,0.244186046512,0.244186046512,0,1,0,1,0,1,0,1,0,1,0,2,1
train,empty-16-16,50,1,2,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,block_light,block_light,wait_light,block_light,8,1,0.0968992248062,0.0968992248062,0.0,0.0968992248062,0.0918992248062,0.0968992248062,0.0968992248062,0,2,1,2,1,2,1,2,1,4,1,6,1
train,empty-16-16,50,1,3,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,block_heavy,block_heavy,block_heavy,wait_light,8,4,0.0077519379845,0.00581395348837,0.0019379844961300002,0.0077519379845,0.0027519379845,0.0077519379845,0.0077519379845,0,1,0,2,1,2,1,3,1,3,1,7,1
train,empty-16-16,100,1,0,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,wait_light,wait_light,wait_light,decay_095,8,2,0.0951923076923,0.0,0.0951923076923,0.0951923076923,0.0901923076923,0.0951923076923,0.0951923076923,0,1,0,1,0,1,0,1,0,1,0,1,0
train,empty-16-16,100,1,1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,block_heavy,block_heavy,block_heavy,wait_light,8,1,0.0346153846154,0.0317307692308,0.0028846153845999978,0.0346153846154,0.0296153846154,0.0346153846154,0.0346153846154,0,1,0,1,0,2,1,3,1,3,1,7,1
train,empty-16-16,100,1,2,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,decay_095,decay_095,decay_095,wait_light,8,0,0.128846153846,0.118269230769,0.010576923077000006,0.128846153846,0.123846153846,0.128846153846,0.128846153846,0,1,0,1,0,1,0,1,0,2,1,4,1
train,empty-16-16,100,1,3,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,decay_090,decay_090,decay_090,wait_light,8,4,0.0471153846154,0.0153846153846,0.031730769230799996,0.0471153846154,0.0421153846154,0.0471153846154,0.0471153846154,0,1,0,1,0,1,0,1,0,1,0,4,1
train,empty-16-16,200,1,0,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,commit_heavy,commit_heavy,commit_heavy,wait_light,8,1,1.14440611138,1.12518482011,0.01922129126999983,1.14440611138,1.13940611138,1.14440611138,1.14440611138,0,1,0,1,0,1,0,1,0,2,1,2,1
train,empty-16-16,200,1,1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,block_light,block_light,block_light,wait_light,8,3,0.203548546082,0.151798915722,0.05174963035999999,0.203548546082,0.19854854608199998,0.203548546082,0.203548546082,0,1,0,1,0,1,0,1,0,1,0,1,0
