candidate_id,family,base_candidate_id,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,intended_context_category,repair_hypothesis,update_only,executable_by_current_cpp_adapter
repair5g516_slow_decay_safer_beta025_cap050,safer_slow_decay,repair5g59_slow_decay_high_shield,1.25,1.25,1.0,0.75,0.92,1.0,0.25,0.5,False,harmful_false_positive,lower shield beta and cap to reduce slow-decay harmful false positives,True,False
repair5g516_slow_decay_safer_beta020_cap045,safer_slow_decay,repair5g59_slow_decay_high_shield,1.2,1.2,1.0,0.75,0.9,1.0,0.2,0.45,False,harmful_false_positive,slightly faster congestion decay and lower shield cap,True,False
repair5g516_slow_decay_safer_beta015_cap040,safer_slow_decay,repair5g59_slow_decay_high_shield,1.15,1.15,1.0,0.75,0.88,1.0,0.15,0.4,False,harmful_false_positive,conservative slow-decay boundary variant,True,False
repair5g516_wait_aggressive_low_cap,wait_neighborhood,repair5g59_wait_aggressive,1.0,1.0,1.05,1.25,0.95,0.95,0.2,0.5,False,missed_helpful_fallback,capture wait-heavy maze opportunities with lower cap,True,False
repair5g516_wait_conservative_mid_cap,wait_neighborhood,repair5g59_wait_conservative,1.0,1.0,1.0,1.05,0.95,0.98,0.18,0.45,False,static_near_oracle,near-static wait-safe boundary candidate,True,False
repair5g516_wait_aggressive_fast_flow_decay,wait_neighborhood,repair5g59_wait_aggressive,1.0,1.0,1.1,1.3,0.95,0.9,0.18,0.45,False,missed_helpful_fallback,wait-aggressive with faster flow decay to reduce persistence risk,True,False
repair5g516_commit_heavy_low_beta,commit_neighborhood,repair5g59_commit_heavy_flow_guard,1.45,0.9,1.1,0.8,0.95,1.0,0.18,0.45,False,harmful_false_positive,random a50-style commit-heavy alternative to slow decay,True,False
repair5g516_commit_heavy_static_guard,commit_neighborhood,repair5g59_commit_heavy_flow_guard,1.35,0.9,1.05,0.75,0.92,0.98,0.15,0.35,False,static_near_oracle,commit-heavy variant with conservative static-boundary guard,True,False
repair5g516_static_boundary_light_flow,conservative_static_boundary,repair5g59_static_flow_shield,1.0,1.0,1.0,0.9,0.95,1.0,0.1,0.25,False,static_near_oracle,minimal nonstatic boundary for abstention calibration,True,False
repair5g516_static_boundary_c_only,conservative_static_boundary,repair5g59_c_only_f_disabled,1.05,1.05,1.0,0.75,0.95,1.0,0.0,0.0,True,static_near_oracle,congestion-only static-boundary contrast,True,False
