ledger_statement,status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,stage,claim_flag,value,closed
G5.54 evaluates fixed global static_flow coefficient vectors only.,closed_or_governance_active,False,False,False,False,False,,,,
"No dynamic learned policy, selector, checkpoint policy, or abstention gate is opened.",closed_or_governance_active,False,False,False,False,False,,,,
Current hand static_flow_shield remains primary unless validation and blind gates pass with zero success regression.,closed_or_governance_active,False,False,False,False,False,,,,
"All Phase5.5, Phase6, runtime, learned-runtime, and AAAI claims remain closed.",closed_or_governance_active,False,False,False,False,False,,,,
,,False,False,False,False,False,verify,phase5p5_allowed,False,True
,,False,False,False,False,False,verify,phase6_allowed,False,True
,,False,False,False,False,False,verify,runtime_claim_allowed,False,True
,,False,False,False,False,False,verify,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,verify,aaai_ready,False,True
,,False,False,False,False,False,stage0b,phase5p5_allowed,False,True
,,False,False,False,False,False,stage0b,phase6_allowed,False,True
,,False,False,False,False,False,stage0b,runtime_claim_allowed,False,True
,,False,False,False,False,False,stage0b,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,stage0b,aaai_ready,False,True
,,False,False,False,False,False,stage1,phase5p5_allowed,False,True
,,False,False,False,False,False,stage1,phase6_allowed,False,True
,,False,False,False,False,False,stage1,runtime_claim_allowed,False,True
,,False,False,False,False,False,stage1,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,stage1,aaai_ready,False,True
,,False,False,False,False,False,stage2,phase5p5_allowed,False,True
,,False,False,False,False,False,stage2,phase6_allowed,False,True
,,False,False,False,False,False,stage2,runtime_claim_allowed,False,True
,,False,False,False,False,False,stage2,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,stage2,aaai_ready,False,True
,,False,False,False,False,False,validation,phase5p5_allowed,False,True
,,False,False,False,False,False,validation,phase6_allowed,False,True
,,False,False,False,False,False,validation,runtime_claim_allowed,False,True
,,False,False,False,False,False,validation,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,validation,aaai_ready,False,True
,,False,False,False,False,False,blind,phase5p5_allowed,False,True
,,False,False,False,False,False,blind,phase6_allowed,False,True
,,False,False,False,False,False,blind,runtime_claim_allowed,False,True
,,False,False,False,False,False,blind,learned_runtime_policy_validated,False,True
,,False,False,False,False,False,blind,aaai_ready,False,True
