policy,risk_bucket_low,risk_bucket_high,rows,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g525_trace_plus_rank_effect_reproduced,0.0,0.05,120,0.0338233263987749,0.06666666666666667,False,False,False,False,False
g525_trace_plus_rank_effect_reproduced,0.05,0.15,0,inf,inf,False,False,False,False,False
g525_trace_plus_rank_effect_reproduced,0.15,0.3,0,inf,inf,False,False,False,False,False
g525_trace_plus_rank_effect_reproduced,0.3,1.01,0,inf,inf,False,False,False,False,False
g525_candidate_specific_rank_effect_reproduced,0.0,0.05,120,0.035749865820425136,0.06666666666666667,False,False,False,False,False
g525_candidate_specific_rank_effect_reproduced,0.05,0.15,0,inf,inf,False,False,False,False,False
g525_candidate_specific_rank_effect_reproduced,0.15,0.3,0,inf,inf,False,False,False,False,False
g525_candidate_specific_rank_effect_reproduced,0.3,1.01,0,inf,inf,False,False,False,False,False
top3_then_min_predicted_risk,0.0,0.05,120,0.03247918009724098,0.041666666666666664,False,False,False,False,False
top3_then_min_predicted_risk,0.05,0.15,0,inf,inf,False,False,False,False,False
top3_then_min_predicted_risk,0.15,0.3,0,inf,inf,False,False,False,False,False
top3_then_min_predicted_risk,0.3,1.01,0,inf,inf,False,False,False,False,False
top3_then_max_predicted_utility_under_risk,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
top3_then_max_predicted_utility_under_risk,0.05,0.15,0,inf,inf,False,False,False,False,False
top3_then_max_predicted_utility_under_risk,0.15,0.3,0,inf,inf,False,False,False,False,False
top3_then_max_predicted_utility_under_risk,0.3,1.01,0,inf,inf,False,False,False,False,False
top5_then_calibrated_risk_utility,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
top5_then_calibrated_risk_utility,0.05,0.15,0,inf,inf,False,False,False,False,False
top5_then_calibrated_risk_utility,0.15,0.3,0,inf,inf,False,False,False,False,False
top5_then_calibrated_risk_utility,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_conformal_abstention,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_conformal_abstention,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_conformal_abstention,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_conformal_abstention,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_static_fallback_if_uncertain,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_static_fallback_if_uncertain,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_static_fallback_if_uncertain,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_static_fallback_if_uncertain,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_old14_g518_fallback_if_uncertain,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_old14_g518_fallback_if_uncertain,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_old14_g518_fallback_if_uncertain,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_old14_g518_fallback_if_uncertain,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_region_calibrated_selector,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_region_calibrated_selector,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_region_calibrated_selector,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_region_calibrated_selector,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_budget_specific_selector,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_budget_specific_selector,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_budget_specific_selector,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_budget_specific_selector,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_map_family_calibrated_selector,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_map_family_calibrated_selector,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_map_family_calibrated_selector,0.15,0.3,0,inf,inf,False,False,False,False,False
topk_map_family_calibrated_selector,0.3,1.01,0,inf,inf,False,False,False,False,False
topk_candidate_induced_failure_guard,0.0,0.05,120,0.032838089628992824,0.058333333333333334,False,False,False,False,False
topk_candidate_induced_failure_guard,0.05,0.15,0,inf,inf,False,False,False,False,False
topk_candidate_induced_failure_guard,0.15,0.3,0,inf,inf,False,False,False,False,False
