variant_id,seed,step,graph_encoder_grad_norm,od_encoder_grad_norm,c_stream_grad_norm,f_stream_grad_norm,scalar_encoder_grad_norm,fusion_grad_norm,theta_head_grad_norm,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
C0,562,100,0.0,0.0,0.0,0.0,0.021795912689412944,0.08025155367795378,0.03591085318475962,False,False,False,False,False
A1,562,100,0.04319335609261543,0.03209633965161629,0.04209220220889165,0.04055273616802424,0.003125494837149745,0.07842957763932645,0.05402856389991939,False,False,False,False,False
A1,563,100,0.0353009239852895,0.023839349712943658,0.033264932108671985,0.02656624897278448,0.002015337613556767,0.0589249050244689,0.051827530143782496,False,False,False,False,False
A1,564,100,0.028892580467726248,0.015160308335907757,0.027106377290920136,0.03117251235994445,0.0013739463001911645,0.045337431598454714,0.028328550804872066,False,False,False,False,False
A2,562,100,0.022542924940751163,0.019253844919148833,0.02622675463919677,0.021347059039840133,0.0015638939266864327,0.04700261366087943,0.037103784969076514,False,False,False,False,False
A2,563,100,0.017365599653672348,0.012978676320926752,0.016539703912094694,0.009356416515160504,0.0009865677984635113,0.03310043772216886,0.03464923321735114,False,False,False,False,False
A2,564,100,0.04122681154410657,0.03083777338906657,0.03997216273654658,0.047491919923459136,0.001929215291966102,0.060817264718934894,0.037319229217246175,False,False,False,False,False
A4,562,100,0.007880797564666864,0.007222974807518767,0.007873021536894953,0.007243176576650967,0.0005195934363655397,0.018851197557523847,0.016566755017265677,False,False,False,False,False
A4,563,100,0.01623582177263927,0.013972080188977998,0.014987954981890539,0.016297396223436067,0.0010569084170128917,0.03704629361163825,0.028931719134561718,False,False,False,False,False
A4,564,100,0.011370646805918483,0.009105273682507686,0.0082519241765171,0.013091166282315214,0.0006889887363286107,0.020864980877377093,0.018114517210051417,False,False,False,False,False
