candidate_index,candidate_id,method,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,min_edge_cost,max_edge_cost,existing_project_owned_alias,new_g533_adapter_added,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,source,hypothesis,new_g534_adapter_added,method_parser_family
0,repair5g59_additive_fallback,repair5g59_additive_fallback,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,True,none,0.25,10.0,True,False,False,False,False,False,False,base,additive LTM baseline,False,repair5g59_alias
1,repair5g59_static_flow_shield,repair5g59_static_flow_shield,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,validated static flow-shield baseline,False,repair5g59_alias
2,repair5g59_c_only_f_disabled,repair5g59_c_only_f_disabled,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True,none,0.25,11.0,True,False,False,False,False,False,False,base,C-channel-only control,False,repair5g59_alias
3,repair5g59_light_cong_light_flow,repair5g59_light_cong_light_flow,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,light C/F pressure,False,repair5g59_alias
4,repair5g59_block_heavy_flow_guard,repair5g59_block_heavy_flow_guard,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,blockage-heavy guard,False,repair5g59_alias
5,repair5g59_commit_heavy_flow_guard,repair5g59_commit_heavy_flow_guard,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,committed-flow emphasis,False,repair5g59_alias
6,repair5g59_wait_conservative,repair5g59_wait_conservative,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,suppresses nonprogress waits,False,repair5g59_alias
7,repair5g59_wait_aggressive,repair5g59_wait_aggressive,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,penalizes waits aggressively,False,repair5g59_alias
8,repair5g59_flow_decay,repair5g59_flow_decay,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,decays F-channel demand,False,repair5g59_alias
9,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,stronger bounded flow shield,False,repair5g59_alias
10,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False,flow_shield,1.0,11.0,True,False,False,False,False,False,False,base,lower beta with higher cap,False,repair5g59_alias
11,repair5g534_high_beta_b050_cap075,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.5,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_high_beta,lower beta near high_beta cap-safe,False,repair5g518_grid
12,repair5g534_high_beta_b050_cap100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.5,1.0,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_high_beta,lower beta with wider cap,False,repair5g518_grid
13,repair5g534_high_beta_b060_cap100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.6,1.0,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_high_beta,G5.33 high beta with wider cap,False,repair5g518_grid
14,repair5g534_high_beta_b070_cap075,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.7,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_high_beta,stronger beta same cap,False,repair5g518_grid
15,repair5g534_high_beta_b070_cap100,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,1.25,1.25,1.0,0.75,0.95,1.0,0.7,1.0,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_high_beta,stronger beta wider cap,False,repair5g518_grid
16,repair5g534_wait_w035,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,1.25,1.25,1.0,0.35,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_wait,more conservative wait pressure,False,repair5g518_grid
17,repair5g534_wait_w065,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,1.25,1.25,1.0,0.65,0.95,1.0,0.35,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_wait,between conservative and static wait pressure,False,repair5g518_grid
18,repair5g534_flow_decay_df090,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,1.25,1.25,1.0,0.75,0.95,0.9,0.35,0.75,False,flow_shield,1.0,11.0,True,,False,False,False,False,False,second_ring_decay,stronger F-channel decay,False,repair5g518_grid
