source_table,column,forbidden_terms,classification,runtime_safe,used_by_g522_performance_model,g523_action,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g522_teacher_candidate,feature_candidate_alpha_cong_blocked,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_alpha_cong_committed,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_alpha_flow_progress,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_alpha_flow_wait_or_nonprogress,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_c_only,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_flow_shield_beta,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_max_flow_shield,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_nearest_g518_distance,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_nearest_old_distance,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_rho_cong,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_candidate_rho_flow,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_context_agents,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_context_cost_span,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_context_map_family_hash,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_candidate,feature_context_old14_plus_g518_score,score,target_or_audit_only,False,True,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_candidate,feature_context_old14_score,score,target_or_audit_only,False,True,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_candidate,feature_context_response_surface_score,score,target_or_audit_only,False,True,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_candidate,feature_context_static_score,score,target_or_audit_only,False,True,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_candidate,feature_interaction_region_bucket_hash,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_context,feature_agent_count,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_context,feature_g518_oracle_score,score|oracle,target_or_audit_only,False,False,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_context,feature_old14_oracle_score,score|oracle,target_or_audit_only,False,False,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_context,feature_progress_wait_block_proxy,,runtime_safe_candidate,True,False,keep_or_reuse,False,False,False,False,False
g522_teacher_context,feature_response_surface_oracle_score,score|oracle,target_or_audit_only,False,False,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
g522_teacher_context,feature_static_score,score,target_or_audit_only,False,False,rename_to_target_audit_or_outcome_namespace,False,False,False,False,False
