plan_row_id,replay_phase,context_id,g562_dataset_row_id,g562_instance_uid,g562_evaluation_uid,g562_identity_digest,g562_scenario_sha256,g562_physical_map_sha256,split,map,map_family,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
g562_cycle1_00000000,cycle1,g562_real_graph_000000,g562_real_graph_000000,d95225a4a10a341fc2794b84b3b49ff52d61188ac0d60f194d34fbf2f505d5ef,00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,0dd17a09d092971cdd959d90c7fe283f90189935c87eb3415eb87a7456633021,a4f04530cf4182e733211384b49df56dc99c0411654cd09a831a37656c65f571,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,validation,g559-synth-city-berlin-32,city,64,64,7428,500,500,500,0.5,4,g559_b500_i4,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle1_00000001,cycle1,g562_real_graph_000000,g562_real_graph_000000,d95225a4a10a341fc2794b84b3b49ff52d61188ac0d60f194d34fbf2f505d5ef,00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,a6ec66f8e9a9cfebc962a164cae8cb4cf129fbb289fca712c9f87eb80f40b829,a4f04530cf4182e733211384b49df56dc99c0411654cd09a831a37656c65f571,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,validation,g559-synth-city-berlin-32,city,64,64,7428,500,500,500,0.5,4,g559_b500_i4,g556_c063174,g556_c063174,g556_c063174,g556_c063174,2d339015d9753a2ea9bdff7bd385113bc536f7cfc447b6978205e09634706e51,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle1_00000002,cycle1,g562_real_graph_000001,g562_real_graph_000001,2334ac1766b19d62673f6798604642ef80984f487e302594bbc1d4bc4cf5b4ee,01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,05f13ba26a3b91592d6b252ce2ac5103faa16840353e71bfb252f52ae8c96692,888ecca87a1d7957f2d8f3ee6e58aaf05f0b37134d26a810111a023f356450b4,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,validation,g559-synth-warehouse-a-32,warehouse,128,128,7514,2000,2000,2000,2.0,3,g559_b2000_i3,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle1_00000003,cycle1,g562_real_graph_000001,g562_real_graph_000001,2334ac1766b19d62673f6798604642ef80984f487e302594bbc1d4bc4cf5b4ee,01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,2261ab667df3a92b1d321c5653d9224c2e6b1ce23f0d448851975034b269be91,888ecca87a1d7957f2d8f3ee6e58aaf05f0b37134d26a810111a023f356450b4,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,validation,g559-synth-warehouse-a-32,warehouse,128,128,7514,2000,2000,2000,2.0,3,g559_b2000_i3,g556_c063174,g556_c063174,g556_c063174,g556_c063174,3851a061467ca6bbb401600256803213042569c19dfd5f33042cec008bcbfc3d,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle1_00000004,cycle1,g562_real_graph_000002,g562_real_graph_000002,7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,9f3ccc7dc788ca8b63ae06049a934618f1e309f70d91af3b2a2547b8028243d2,c5349f2f97d57bd06f2ce7eba7187dfb733f32254f0a00b228873d00d32d0590,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,heldout,g559-synth-string-40,irregular_bottleneck,128,128,8240,500,500,500,0.5,3,g559_b500_i3,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle1_00000005,cycle1,g562_real_graph_000002,g562_real_graph_000002,7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,a2823feafdb435a5f90bcbd9f49760ef64a425909940f8573fe9c5cc0b08e3e5,c5349f2f97d57bd06f2ce7eba7187dfb733f32254f0a00b228873d00d32d0590,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,heldout,g559-synth-string-40,irregular_bottleneck,128,128,8240,500,500,500,0.5,3,g559_b500_i3,g556_c063174,g556_c063174,g556_c063174,g556_c063174,40fe2a88a16aa4a98c5df9dadb7c778ba8bb72798f631bff6433349a2d2948d1,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle1_00000006,cycle1,g562_real_graph_000003,g562_real_graph_000003,84f6dfa2d6a4dff1ac4b969de7f87fc50fd085d76769fc14bd343ce690633c24,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,07760acb7c76ab51e9434a02bedbd36b1c9b31f9c8e2a0dd0aed76f609fc11ae,950bef6f249084276beeba97ca2d5c5a845c5ad890d2b6eca391754384972f00,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,validation,maze-32-32-2,maze,16,16,7630,2000,2000,2000,2.0,2,g559_b2000_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle1_00000007,cycle1,g562_real_graph_000003,g562_real_graph_000003,84f6dfa2d6a4dff1ac4b969de7f87fc50fd085d76769fc14bd343ce690633c24,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,1f7afea45ea391a8aa01de83718519103117d45ed4bd59e79cc23b4299694340,950bef6f249084276beeba97ca2d5c5a845c5ad890d2b6eca391754384972f00,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,validation,maze-32-32-2,maze,16,16,7630,2000,2000,2000,2.0,2,g559_b2000_i2,g556_c063174,g556_c063174,g556_c063174,g556_c063174,e405c949a160ac31cb3e061267c411c71daae40904d3ef672bf81eec83c21419,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle1_00000008,cycle1,g562_real_graph_000004,g562_real_graph_000004,978c6a92a6f69ac63f1e03bca3f1978734a67928e5604c1d936541729d574c0c,0334f551e3ad9fa8614a9c127b190870c9eb2799d898c66f56aea13a9add753f,780cef9315ee7b4d66a4d9d03e6fd7e0588fa0223e2a7b6ead9f35c2d4f0119b,a34b1fdd5a8231452218dc542ac6aefd9e8c211458f379ee27dce5f51bd4bbcf,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,validation,maze-36-32-4,maze,32,32,7871,5000,5000,5000,5.0,3,g559_b5000_i3,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle1_00000009,cycle1,g562_real_graph_000004,g562_real_graph_000004,978c6a92a6f69ac63f1e03bca3f1978734a67928e5604c1d936541729d574c0c,0334f551e3ad9fa8614a9c127b190870c9eb2799d898c66f56aea13a9add753f,d1dd702b26add19b7b843985f91414f363e47fbd898f99b4fdb2bdd8a7ce7ba9,a34b1fdd5a8231452218dc542ac6aefd9e8c211458f379ee27dce5f51bd4bbcf,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,validation,maze-36-32-4,maze,32,32,7871,5000,5000,5000,5.0,3,g559_b5000_i3,g556_c063174,g556_c063174,g556_c063174,g556_c063174,9b6270af3e28c8f4c0a89b2b292676d0aa1441f21a1b45fdd21115c62a312675,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
