candidate_id,policy_family,abstain_to_static_flow_probability,mixture_weight_source,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g550_theta_550000001,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.13431216672,1.25,0.75,0.75,1,1,0.95,1,0.992699831842,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000002,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.22107804168,1.25,0.75,0.75,1,1,0.95,1,0.99817495796,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000003,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.19215608336,1.25,0.75,0.75,1,1,0.95,1,0.996349915921,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000004,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000005,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000006,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000007,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.50001499997,1.25,0.75,0.75,1,1,0.95,1,0.674627650745,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000008,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.5407504185,1.25,0.75,0.75,1,1,0.95,1,0.719444561111,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000009,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.04443266113,1.25,0.75,0.75,1,1,0.95,1,0.971122057756,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000010,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.884763490042,1.25,0.75,0.75,1,0.91,0.95,1,1.19123979821,0.78,0.3325,0.6675,0.89,10.34,1,0,0,False,False,False,False,False
repair5g550_theta_550000011,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.33848835673,1.25,0.75,0.75,1,0.87,0.95,1,0.784232867155,0.84,0.4165,0.5925,0.84,8.91,1,0,0,False,False,False,False,False
repair5g550_theta_550000012,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.24774338339,1.25,0.75,0.75,1,0.89,0.95,1,1.07211581839,0.78,0.322,0.6,0.94,11.88,1,0,0,False,False,False,False,False
repair5g550_theta_550000013,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.37251772173,1.25,0.75,0.75,1,1.2,0.95,1,1.14160480662,0.82,0.4025,0.675,0.88,9.9,1,0,0,False,False,False,False,False
repair5g550_theta_550000014,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.3158021134,1.25,0.75,0.75,1,0.85,0.95,1,0.883502850339,1.2,0.3255,0.66,0.8,11.55,1,0,0,False,False,False,False,False
repair5g550_theta_550000015,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.33848835673,1.25,0.75,0.75,1,1.17,0.95,1,0.823940860429,1.06,0.273,0.705,1,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000016,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.37251772173,1.25,0.75,0.75,1,1.06,0.95,1,0.883502850339,1.07,0.3115,0.645,1,9.57,1,0,0,False,False,False,False,False
repair5g550_theta_550000017,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.97550846338,1.25,0.75,0.75,1,0.93,0.95,1,0.903356846976,0.82,0.301,0.6525,1,9.35,1,0,0,False,False,False,False,False
repair5g550_theta_550000018,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.3838608434,1.25,0.75,0.75,1,0.95,0.95,1,1.14160480662,1.13,0.2975,0.915,1,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000019,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.952822220045,1.25,0.75,0.75,1,0.96,0.95,1,0.923210843613,0.94,0.42,0.63,1,11.66,1,0,0,False,False,False,False,False
repair5g550_theta_550000020,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.952822220045,1.25,0.75,0.75,1,0.81,0.95,1,1.04233482343,0.83,0.413,0.8925,1,9.35,1,0,0,False,False,False,False,False
repair5g550_theta_550000021,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.00953782838,1.25,0.75,0.75,1,0.9,0.95,1,0.794159865474,0.93,0.406,0.8775,0.96,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000022,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.986851585047,1.25,0.75,0.75,1,0.83,0.95,1,1.15153180494,1.04,0.3115,0.8175,0.83,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000023,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.04356719338,1.25,0.75,0.75,1,1.11,0.95,1,0.933137841931,1.19,0.378,0.915,0.95,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000024,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.06625343672,1.25,0.75,0.75,1,0.96,0.95,1,0.94306484025,1.1,0.392,0.72,0.92,8.8,1,0,0,False,False,False,False,False
repair5g550_theta_550000025,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.20237089672,1.25,0.75,0.75,1,1.12,0.95,1,1.08204281671,1.11,0.3255,0.6375,1,9.24,1,0,0,False,False,False,False,False
repair5g550_theta_550000026,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.3158021134,1.25,0.75,0.75,1,1.1,0.95,1,0.794159865474,0.86,0.3325,0.585,0.82,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000027,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.29311587006,1.25,0.75,0.75,1,1.12,0.95,1,0.952991838568,0.78,0.3115,0.8175,0.93,10.45,1,0,0,False,False,False,False,False
repair5g550_theta_550000028,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.20237089672,1.25,0.75,0.75,1,1.21,0.95,1,0.863648853702,1.21,0.413,0.825,0.8,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000029,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.884763490042,1.25,0.75,0.75,1,1.06,0.95,1,1.05226182175,1.13,0.413,0.6075,1,11.44,1,0,0,False,False,False,False,False
repair5g550_theta_550000030,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.998194706714,1.25,0.75,0.75,1,1.2,0.95,1,1.09196981503,1.12,0.28,0.8325,1,12,1,0,0,False,False,False,False,False
repair5g550_theta_550000031,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.3158021134,1.25,0.75,0.75,1,1.05,0.95,1,1.14160480662,0.88,0.3955,0.705,1,8.58,1,0,0,False,False,False,False,False
repair5g550_theta_550000032,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.19102777506,1.25,0.75,0.75,1,0.92,0.95,1,1.21109379485,1.14,0.4095,0.9,1,11.55,1,0,0,False,False,False,False,False
repair5g550_theta_550000033,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,0.952822220045,1.25,0.75,0.75,1,1.08,0.95,1,0.883502850339,0.9,0.273,0.915,1,11.44,1,0,0,False,False,False,False,False
repair5g550_theta_550000034,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.25,1.25,0.75,0.75,1,0.593777402962,0.95,1,1,0.768988430989,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g550_theta_550000035,safe_expert_mixture_with_abstention,0.25,safe_expert_mixture,1.25,1.25,1.25,0.75,0.75,1,0.898444350741,0.95,1,1,0.942247107747,0.35,0.75,1,11,1,0,0,False,False,False,False,False
