theta_field,g546_grid_materialization_status,requires_g547_fulltheta_registry,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_cong_block,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_cong_wait_progress,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_flow_commit_progress,executed_or_collapsed,False,False,False,False,False,False
theta_alpha_flow_wait_progress,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_rho_cong_decay,executed_or_collapsed,False,False,False,False,False,False
theta_rho_flow_decay,executed_or_collapsed,False,False,False,False,False,False
theta_lambda_cong,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_lambda_flow,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_flow_shield_beta,executed_or_collapsed,False,False,False,False,False,False
theta_max_flow_shield,executed_or_collapsed,False,False,False,False,False,False
theta_min_edge_cost,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_max_edge_cost,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_goal_projection_mode_flow_shield,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_goal_projection_mode_agent_progress,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
theta_goal_projection_mode_none,ignored_or_constant_in_grid_alias,True,False,False,False,False,False
