candidate_id,runtime_method,enable_dual_channel,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,alpha_flow_commit_progress,alpha_flow_wait_progress,rho_cong_decay,rho_flow_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,notes,diagnostic_only,phase5p5_allowed,phase6_allowed,component
dcltm_additive_parity,repair5g_dual_additive_parity,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,Exact additive LTM parity control; routes through legacy UpdateLTM semantics.,True,False,False,parity
dcltm_c_only_locked_f4,repair5g_dual_c_only_locked_f4,True,1.0,1.0,0.75,0.75,0.0,0.0,0.9,1.0,1.0,0.0,0.25,11.0,C-only diagnostic matching the failed locked Repair5F static rule.,True,False,False,c_only
dcltm_c_only_best_f4_observed,repair5g_dual_c_only_best_f4_observed,True,1.25,1.25,0.75,0.75,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,C-only diagnostic matching the best observed F4 static candidate; not promotable.,True,False,False,c_only
dcltm_flow_only_025,repair5g_dual_flow_only_025,True,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25,0.25,11.0,Flow-only committed goal-progress guidance with lambda_flow=0.25.,True,False,False,f_only
dcltm_flow_only_050,repair5g_dual_flow_only_050,True,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.25,11.0,Flow-only committed goal-progress guidance with lambda_flow=0.50.,True,False,False,f_only
dcltm_block_wait_cong_flow025,repair5g_dual_block_wait_cong_flow025,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,0.25,11.0,"Blocked/wait congestion plus committed goal-progress flow, lambda_flow=0.25.",True,False,False,c_plus_f
dcltm_block_wait_cong_flow050,repair5g_dual_block_wait_cong_flow050,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.25,11.0,"Blocked/wait congestion plus committed goal-progress flow, lambda_flow=0.50.",True,False,False,c_plus_f
dcltm_goal_gated_wait_025,repair5g_dual_goal_gated_wait_025,True,0.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.25,0.25,11.0,"Goal-gated wait: weakly penalize progress exits, strongly penalize non-progress exits.",True,False,False,goal_gated_wait
dcltm_goal_gated_wait_050,repair5g_dual_goal_gated_wait_050,True,0.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.25,11.0,Goal-gated wait with stronger flow discount.,True,False,False,goal_gated_wait
dcltm_balanced_decay,repair5g_dual_balanced_decay,True,0.0,1.0,1.0,1.0,1.0,0.0,0.95,0.95,1.0,0.25,0.25,11.0,Balanced C/F decay at 0.95 with lambda_flow=0.25.,True,False,False,c_plus_f_decay
