candidate_index,candidate_id,method,search_stage,stage_code,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,delta_alpha_cong_committed,delta_alpha_cong_blocked,delta_alpha_flow_progress,delta_alpha_wait,delta_rho_cong,delta_rho_flow,delta_beta,delta_max_flow_shield,min_edge_cost,max_edge_cost,hypothesis,expected_strata,method_parser_family,existing_project_owned_alias,adapter_change_required,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,repair5g539_s1_000,repair5g518_grid_c1p1_b1p25_f0p75_w0p65_dc0p95_df0p95_beta0p25_max1p25_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.65,0.95,0.95,0.25,1.25,False,flow_shield,-0.15,0,-0.25,-0.1,0,-0.05,-0.1,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
1,repair5g539_s1_001,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p98_df0p98_beta0p15_max0p75_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.75,0.98,0.98,0.15,0.75,False,flow_shield,-0.25,0,-0.5,0,0.03,-0.02,-0.2,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
2,repair5g539_s1_002,repair5g518_grid_c1p4_b1p25_f1p25_w0p25_dc1p00_df1p00_beta0p45_max0p4_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.25,1.0,1.0,0.45,0.4,False,flow_shield,0.15,0,0.25,-0.5,0.05,0,0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
3,repair5g539_s1_003,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df0p9_beta0p3_max1p00_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.35,0.95,0.9,0.3,1.0,False,flow_shield,0,0,0,-0.4,0,-0.1,-0.05,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
4,repair5g539_s1_004,repair5g518_grid_c1p1_b1p25_f0p75_w0p5_dc0p98_df0p95_beta0p2_max0p5_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.5,0.98,0.95,0.2,0.5,False,flow_shield,-0.15,0,-0.25,-0.25,0.03,-0.05,-0.15,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
5,repair5g539_s1_005,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc1p00_df0p98_beta0p6_max1p25_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.65,1.0,0.98,0.6,1.25,False,flow_shield,-0.25,0,-0.5,-0.1,0.05,-0.02,0.25,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
6,repair5g539_s1_006,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.75,0.95,1.0,0.35,0.75,False,flow_shield,0.15,0,0.25,0,0,0,0,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
7,repair5g539_s1_007,repair5g518_grid_c1p25_b1p25_f1p00_w0p25_dc0p98_df0p9_beta0p25_max0p4_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.25,0.98,0.9,0.25,0.4,False,flow_shield,0,0,0,-0.5,0.03,-0.1,-0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
8,repair5g539_s1_008,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc1p00_df0p95_beta0p15_max1p00_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.35,1.0,0.95,0.15,1.0,False,flow_shield,-0.15,0,-0.25,-0.4,0.05,-0.05,-0.2,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
9,repair5g539_s1_009,repair5g518_grid_c1p00_b1p25_f0p5_w0p5_dc0p95_df0p98_beta0p45_max0p5_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.5,0.95,0.98,0.45,0.5,False,flow_shield,-0.25,0,-0.5,-0.25,0,-0.02,0.1,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
10,repair5g539_s1_010,repair5g518_grid_c1p4_b1p25_f1p25_w0p65_dc0p98_df1p00_beta0p3_max1p25_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.65,0.98,1.0,0.3,1.25,False,flow_shield,0.15,0,0.25,-0.1,0.03,0,-0.05,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
11,repair5g539_s1_011,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc1p00_df0p9_beta0p2_max0p75_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.75,1.0,0.9,0.2,0.75,False,flow_shield,0,0,0,0,0.05,-0.1,-0.15,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
12,repair5g539_s1_012,repair5g518_grid_c1p1_b1p25_f0p75_w0p25_dc0p95_df0p95_beta0p6_max0p4_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.25,0.95,0.95,0.6,0.4,False,flow_shield,-0.15,0,-0.25,-0.5,0,-0.05,0.25,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
