model,harmful_threshold,rule_top1_accuracy,rule_top3_accuracy,harmful_update_recall,harmful_update_precision,predicted_rule_validation_mean_delta_ratio,selected_harmful_rule_rate,gate_like_top1_pass,gate_like_top3_pass,gate_like_recall_pass,gate_like_precision_pass,gate_like_delta_pass
edge_t010_hard055,0.02,0.2657952069716776,0.3333333333333333,1.0,0.3769063180827887,0.0029434296545352502,0.0,False,False,True,True,True
edge_t010_hard055,0.05,0.30501089324618735,0.49455337690631807,1.0,0.3844444444444444,0.004701577429834226,0.0,False,False,True,True,True
edge_t010_hard055,0.075,0.30718954248366015,0.5054466230936819,0.9595375722543352,0.4,0.0024561707122914373,0.008714596949891068,False,False,True,True,True
edge_t010_hard055,0.1,0.30501089324618735,0.5163398692810458,0.953757225433526,0.4252577319587629,0.00701193871029579,0.017429193899782137,False,False,True,True,True
edge_t010_hard055,0.125,0.2984749455337691,0.5272331154684096,0.8901734104046243,0.456973293768546,0.0050287623344373806,0.034858387799564274,False,False,True,True,True
edge_t010_hard055,0.15,0.29411764705882354,0.5490196078431373,0.8208092485549133,0.5035460992907801,0.011286791774385739,0.04793028322440087,False,False,True,True,True
edge_t010_hard055,0.2,0.2679738562091503,0.5838779956427015,0.7052023121387283,0.5258620689655172,0.017047992915505916,0.08278867102396514,False,False,False,True,True
edge_t010_hard055,0.3,0.27233115468409586,0.6078431372549019,0.5317919075144508,0.5897435897435898,0.010856473315615242,0.10239651416122005,False,False,False,True,True
edge_t010_hard055,0.4,0.2679738562091503,0.6013071895424836,0.3063583815028902,0.6022727272727273,0.007549635286763388,0.10893246187363835,False,False,False,True,True
edge_t010_hard055,0.5,0.2679738562091503,0.5925925925925926,0.10982658959537572,0.6551724137931034,0.007916255582873628,0.10675381263616558,False,False,False,True,True
edge_t010_hard055,0.7,0.2679738562091503,0.5969498910675382,0.0,0.0,0.007916255582873628,0.10675381263616558,False,False,False,False,True
edge_t010_hard055,0.9,0.2679738562091503,0.5969498910675382,0.0,0.0,0.007916255582873628,0.10675381263616558,False,False,False,False,True
edge_t010_hard055,1.1,0.2679738562091503,0.5969498910675382,0.0,0.0,0.007916255582873628,0.10675381263616558,False,False,False,False,True
set_t010_hard055,0.02,0.2222222222222222,0.2701525054466231,1.0,0.3769063180827887,0.001111699379971,0.0,False,False,True,True,True
set_t010_hard055,0.05,0.2875816993464052,0.45098039215686275,1.0,0.3777292576419214,0.004056629187137811,0.0,False,False,True,True,True
set_t010_hard055,0.075,0.30501089324618735,0.485838779956427,0.9884393063583815,0.3825503355704698,0.004345237323729396,0.0,False,False,True,True,True
set_t010_hard055,0.1,0.3159041394335512,0.5032679738562091,0.9710982658959537,0.3916083916083916,0.004997741152722399,0.006535947712418301,False,False,True,True,True
set_t010_hard055,0.125,0.30501089324618735,0.5228758169934641,0.9595375722543352,0.4223918575063613,0.0038081452712758405,0.0196078431372549,False,False,True,True,True
set_t010_hard055,0.15,0.289760348583878,0.5403050108932462,0.9479768786127167,0.4420485175202156,-0.007122490563140478,0.0457516339869281,False,False,True,True,False
set_t010_hard055,0.2,0.28540305010893247,0.5708061002178649,0.8265895953757225,0.49140893470790376,0.0013545782074938703,0.06100217864923747,False,False,True,True,True
set_t010_hard055,0.3,0.289760348583878,0.5925925925925926,0.4913294797687861,0.625,-0.000770965177735519,0.0915032679738562,False,False,False,True,False
set_t010_hard055,0.4,0.2875816993464052,0.6078431372549019,0.18497109826589594,0.7272727272727273,0.0017691219829747845,0.10021786492374728,False,False,False,True,True
set_t010_hard055,0.5,0.2875816993464052,0.6078431372549019,0.028901734104046242,1.0,0.0017691219829747845,0.10021786492374728,False,False,False,True,True
set_t010_hard055,0.7,0.2875816993464052,0.6078431372549019,0.0,0.0,0.0017691219829747845,0.10021786492374728,False,False,False,False,True
set_t010_hard055,0.9,0.2875816993464052,0.6078431372549019,0.0,0.0,0.0017691219829747845,0.10021786492374728,False,False,False,False,True
set_t010_hard055,1.1,0.2875816993464052,0.6078431372549019,0.0,0.0,0.0017691219829747845,0.10021786492374728,False,False,False,False,True
edge_t005_hard070,0.02,0.2178649237472767,0.2374727668845316,1.0,0.3769063180827887,0.0,0.0,False,False,True,True,False
edge_t005_hard070,0.05,0.29193899782135074,0.4226579520697168,1.0,0.3769063180827887,0.0034367685763465185,0.0,False,False,True,True,True
edge_t005_hard070,0.075,0.3159041394335512,0.48148148148148145,1.0,0.3777292576419214,0.004229295665480507,0.0,False,False,True,True,True
