candidate_id,alpha_commit,alpha_block,alpha_wait_spillover,rho_decay,force_additive,construction,old_equivalent_rule,is_exact_additive,is_old_preset_equivalent,notes
additive_ltm,1.0,1.0,1.0,1.0,True,exact_additive_anchor,additive_ltm,True,True,Exact additive LTM parity anchor.
c050_b100_w100_d100,0.5,1.0,1.0,1.0,False,one_axis_alpha_commit,,False,False,Single bounded one-axis move from additive.
c075_b100_w100_d100,0.75,1.0,1.0,1.0,False,one_axis_alpha_commit,,False,False,Single bounded one-axis move from additive.
c125_b100_w100_d100,1.25,1.0,1.0,1.0,False,one_axis_alpha_commit,,False,False,Single bounded one-axis move from additive.
c150_b100_w100_d100,1.5,1.0,1.0,1.0,False,one_axis_alpha_commit,commit_heavy,False,True,Single bounded one-axis move from additive.
c100_b050_w100_d100,1.0,0.5,1.0,1.0,False,one_axis_alpha_block,block_light,False,True,Single bounded one-axis move from additive.
c100_b075_w100_d100,1.0,0.75,1.0,1.0,False,one_axis_alpha_block,,False,False,Single bounded one-axis move from additive.
c100_b125_w100_d100,1.0,1.25,1.0,1.0,False,one_axis_alpha_block,,False,False,Single bounded one-axis move from additive.
c100_b150_w100_d100,1.0,1.5,1.0,1.0,False,one_axis_alpha_block,block_heavy,False,True,Single bounded one-axis move from additive.
c100_b100_w050_d100,1.0,1.0,0.5,1.0,False,one_axis_alpha_wait_spillover,wait_light,False,True,Single bounded one-axis move from additive.
c100_b100_w075_d100,1.0,1.0,0.75,1.0,False,one_axis_alpha_wait_spillover,,False,False,Single bounded one-axis move from additive.
c100_b100_w125_d100,1.0,1.0,1.25,1.0,False,one_axis_alpha_wait_spillover,,False,False,Single bounded one-axis move from additive.
c100_b100_w150_d100,1.0,1.0,1.5,1.0,False,one_axis_alpha_wait_spillover,wait_heavy,False,True,Single bounded one-axis move from additive.
c100_b100_w100_d090,1.0,1.0,1.0,0.9,False,one_axis_rho_decay,decay_090,False,True,Single bounded one-axis move from additive.
c100_b100_w100_d095,1.0,1.0,1.0,0.95,False,one_axis_rho_decay,decay_095,False,True,Single bounded one-axis move from additive.
c075_b075_w100_d100,0.75,0.75,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,False,False,Limited two-axis interaction at moderate alpha values.
c075_b125_w100_d100,0.75,1.25,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,False,False,Limited two-axis interaction at moderate alpha values.
c125_b075_w100_d100,1.25,0.75,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,False,False,Limited two-axis interaction at moderate alpha values.
c125_b125_w100_d100,1.25,1.25,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,False,False,Limited two-axis interaction at moderate alpha values.
c075_b100_w075_d100,0.75,1.0,0.75,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c075_b100_w125_d100,0.75,1.0,1.25,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c125_b100_w075_d100,1.25,1.0,0.75,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c125_b100_w125_d100,1.25,1.0,1.25,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c100_b075_w075_d100,1.0,0.75,0.75,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c100_b075_w125_d100,1.0,0.75,1.25,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c100_b125_w075_d100,1.0,1.25,0.75,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
c100_b125_w125_d100,1.0,1.25,1.25,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,False,False,Limited two-axis interaction at moderate alpha values.
