candidate_id,candidate_block,candidate_family,candidate_purpose,expected_conservative_no_solution_risk_reducer,expected_high_gain_risky,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,nearest_g518_winner,nearest_g518_param_distance,nearest_old14_candidate,nearest_old14_param_distance,nearest_g518_oracle_wins,nearest_g518_safe_positive_rows,nearest_g518_target_context_hits,predeclared_selection_score,uses_g521_solver_outcome,selected_for_execution,selection_rank
repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_A_block_heavy,block_heavy,block-heavy low-c high-block neighborhood,False,False,0.9,1.5,1.0,0.45,0.95,1.0,0.45,0.75,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.0,repair5g59_block_heavy_flow_guard,0.15,3,21,16,-0.09185,False,True,1
repair5g521_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_A_block_heavy,block_heavy,block-heavy low-c high-block neighborhood,True,False,0.9,1.4,1.0,0.45,0.95,1.0,0.35,0.75,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,repair5g59_block_heavy_flow_guard,0.15,1,21,16,-0.07185,False,True,2
repair5g521_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_A_block_heavy,block_heavy,block-heavy low-c high-block neighborhood,True,True,0.9,1.65,1.0,0.45,0.95,1.0,0.35,0.75,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,repair5g59_block_heavy_flow_guard,0.187082869339,1,18,16,-0.065812917131,False,True,3
repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p90_df1p00_beta0p45_max0p75_c0,block_A_block_heavy,block_heavy,block-heavy low-c high-block neighborhood,False,False,0.9,1.5,1.0,0.45,0.9,1.0,0.45,0.75,False,False,False,False,False,False,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,0.05,repair5g59_block_heavy_flow_guard,0.158113883008,3,21,16,-0.041841886117,False,True,4
repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,block_B_high_beta,high_beta,high-beta high-wait high-flow neighborhood,False,True,1.2,1.35,1.0,0.7,0.95,1.0,0.6,0.75,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.0,repair5g59_high_beta_cap_safe,0.122474487139,3,22,16,-0.088877525513,False,True,5
repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,block_B_high_beta,high_beta,high-beta high-wait high-flow neighborhood,False,True,1.2,1.15,1.0,0.7,0.95,1.0,0.6,0.75,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.0,repair5g59_high_beta_cap_safe,0.122474487139,1,19,16,-0.062877525513,False,True,6
repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,block_B_high_beta,high_beta,high-beta high-wait high-flow neighborhood,False,True,1.2,1.15,1.0,0.7,0.95,1.0,0.55,0.75,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,0.0,repair5g59_high_beta_cap_safe,0.132287565553,1,17,16,-0.058867712434,False,True,7
repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,block_B_high_beta,high_beta,high-beta high-wait high-flow neighborhood,False,True,1.2,1.35,1.0,0.7,0.95,1.0,0.55,0.75,False,False,False,False,False,False,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,0.05,repair5g59_high_beta_cap_safe,0.132287565553,3,22,16,-0.038867712434,False,True,8
repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,block_C_wait_conservative,wait_conservative,wait-conservative low-beta neighborhood,True,False,1.25,1.25,1.0,0.5,0.95,1.0,0.35,0.75,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,repair5g59_wait_conservative,0.0,4,23,16,-0.104,False,True,9
repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,block_C_wait_conservative,wait_conservative,wait-conservative low-beta neighborhood,True,False,1.25,1.25,1.0,0.35,0.95,1.0,0.3,0.75,False,False,False,False,False,False,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,0.0,repair5g59_wait_conservative,0.158113883008,2,19,16,-0.075841886117,False,True,10
