bootstrap_index,metric
0,0.00616447914055
1,0.00616447914055
2,0.00616447914055
3,0.00616447914055
4,0.00616447914055
5,0.00616447914055
6,0.00616447914055
7,0.00616447914055
8,0.00616447914055
9,0.00616447914055
10,0.00616447914055
11,0.00616447914055
12,0.00616447914055
13,0.00616447914055
14,0.00616447914055
15,0.00616447914055
16,0.00616447914055
17,0.00616447914055
18,0.00616447914055
19,0.00616447914055
20,0.00616447914055
21,0.00616447914055
22,0.00616447914055
23,0.00616447914055
24,0.00616447914055
25,0.00616447914055
26,0.00616447914055
27,0.00616447914055
28,0.00616447914055
29,0.00616447914055
