context_source_id,normalized_context_key,short_budget_ms,budget_ms,map,map_family,map_agent_group,agents,seed,context_bucket,teacher_action_class,source,namespace,contains_original_gold_anchor,generated_or_additional_context,ids_166_205_untouched,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s146|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,146,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,146,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,147,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,147,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,148,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,148,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,149,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,149,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,150,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,150,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,151,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,151,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,152,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,152,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,153,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,153,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,154,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,154,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383|b1000,maze-32-32-4|a100|s155|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a100,100,155,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383|b2000,maze-32-32-4|a100|s155|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a100,100,155,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383|b1000,maze-32-32-4|a50|s146|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,146,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383|b2000,maze-32-32-4|a50|s146|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,146,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383|b1000,maze-32-32-4|a50|s147|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,147,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383|b2000,maze-32-32-4|a50|s147|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,147,old14_or_g518_fallback,old14_g518_fallback,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383|b1000,maze-32-32-4|a50|s148|it0|14650fb0739d0383,1000,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,148,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383|b2000,maze-32-32-4|a50|s148|it0|14650fb0739d0383,2000,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,148,safe_g522_teacher_select,safe_g522_select,g529_original_gold_anchor,observed_gold_anchor,True,False,True,False,False,False,False,False
