split,run_id,checkpoint_id,map_name,agents,seed,iteration,decision_target,selected_decision,target_rule,predicted_rule,fallback_reason,attention_top1,attention_top3,decision_correct,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,selected_rule_harmful,target_delta,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,best_safe_nonadditive_advantage,opportunity_margin,rule_scores,harmful_probs,opportunity_prob,defer_prob,top3_rules,harmful_labels
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,empty-16-16,50,1,0,use_nonadditive,use_nonadditive,wait_light,block_heavy,selected,False,True,True,0.0426356589147,0.0,0.0426356589147,0.0426356589147,0.0,0.0426356589147,False,0.077519379845,True,True,0.077519379845,0.01,"[0.29256874341110234, 2.1094858223199844, 2.8575272461771966, 1.3992165905237197, 2.700822088420391, 2.52563422203064, 0.38738056794551085, 0.49114845420484926]","[0.00038146061706356704, 0.32603952288627625, 0.07863093912601471, 0.3855437934398651, 0.08224381506443024, 0.26330089569091797, 2.0973013306502253e-05, 1.8762764739221893e-05]",0.9407104849815369,0.023512741550803185,"[""block_heavy"", ""wait_light"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,empty-16-16,50,1,1,use_nonadditive,use_nonadditive,commit_heavy,commit_heavy,selected,True,True,True,0.135658914729,0.0,0.135658914729,0.1,0.0,0.1,False,0.135658914729,True,True,0.1,0.01,"[0.31147013693407644, 3.2572091611102225, 2.912312268940732, 1.3417689248919487, 1.7341348139941692, 2.557915386855602, 2.0886952844262123, 2.0912377763539554]","[0.00016014309949241579, 0.019259294494986534, 0.002408041153103113, 0.04542149603366852, 0.11432663351297379, 0.018003717064857483, 0.03714577853679657, 0.03677641972899437]",0.9939801692962646,0.0030912801157683134,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,empty-16-16,50,1,2,use_nonadditive,use_nonadditive,block_light,wait_light,selected,False,False,True,0.0968992248062,0.0,0.0968992248062,0.0968992248062,0.0,0.0968992248062,False,0.0968992248062,True,True,0.0968992248062,0.01,"[0.5958353484084364, 1.7826898217201232, 1.8587418911233544, 1.6077403533831238, 2.0263095548003913, 1.694555511958897, 1.9550397447496652, 1.9201707573980094]","[0.0006188729894347489, 0.21998822689056396, 0.020497454330325127, 0.013842640444636345, 0.017675507813692093, 0.020289873704314232, 0.01053188368678093, 0.010080475360155106]",0.9967471361160278,0.002314570127055049,"[""wait_light"", ""decay_095"", ""decay_090""]","[0, 1, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair1,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,empty-16-16,50,1,3,defer_ltm,defer_ltm,block_heavy,additive_ltm,low_opportunity,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0077519379845,False,False,0.0077519379845,0.01,"[2.3551621472352418, 1.179773142337799, 2.4924513348937034, 1.6401821553707123, 2.475607515573502, 1.7496210408210755, 0.9229507064819336, 0.8868781280517578]","[0.00029784682556055486, 0.7947062253952026, 0.14703746140003204, 0.7719746232032776, 0.225871741771698, 0.6840106248855591, 0.9055484533309937, 0.9132834672927856]",0.025370582938194275,0.9111912250518799,"[""block_heavy"", ""wait_light"", ""additive_ltm""]","[0, 1, 0, 1, 0, 1, 1, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,empty-16-16,100,1,0,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,True,True,True,0.0951923076923,0.0,0.0951923076923,0.0951923076923,0.0,0.0951923076923,False,0.0951923076923,True,True,0.0951923076923,0.01,"[0.4254368344880641, 1.7920948147773743, 1.9691670989990235, 0.837479192018509, 2.9316722197830676, -0.04657385051250458, 1.118436506310827, 1.229109849835513]","[0.001449386589229107, 0.5961006879806519, 0.4683382511138916, 0.6277760863304138, 0.09662487357854843, 0.8979970216751099, 0.0001345614728052169, 0.0003116177977062762]",0.9161761999130249,0.03444700688123703,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,empty-16-16,100,1,1,use_nonadditive,use_nonadditive,block_heavy,wait_light,selected,False,True,True,0.0317307692308,0.0,0.0317307692308,0.0317307692308,0.0,0.0317307692308,False,0.0346153846154,True,True,0.0346153846154,0.01,"[1.625503995618201, 2.216802628040314, 2.3646844530105593, 1.3482183706760407, 2.6883570586144923, -0.07027483701705933, 2.3690198838710783, 2.302856321334839]","[0.00017987683531828225, 0.4859551191329956, 0.5293195247650146, 0.8156155943870544, 0.06895346194505692, 0.9318772554397583, 0.6238868832588196, 0.6693544387817383]",0.5161839723587036,0.25060704350471497,"[""wait_light"", ""decay_095"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 1]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,empty-16-16,100,1,2,use_nonadditive,use_nonadditive,wait_light,block_heavy,selected,False,True,True,0.0365384615385,0.0,0.0365384615385,0.0365384615385,0.0,0.0365384615385,False,0.118269230769,True,True,0.1,0.01,"[0.12116771048808005, 1.464032581448555, 2.4734612737223505, 2.193643433377147, 2.4596472391416317, 1.406901296377182, 2.1817432233691214, 2.090456475019455]","[0.0004355577111709863, 0.23510202765464783, 0.013106891885399818, 0.01894918456673622, 0.0017255101120099425, 0.1793118119239807, 0.16604270040988922, 0.2671127915382385]",0.9948133230209351,0.0024420691188424826,"[""block_heavy"", ""wait_light"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair1,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,empty-16-16,100,1,3,use_nonadditive,use_nonadditive,decay_090,decay_090,selected,True,True,True,0.0471153846154,0.0,0.0471153846154,0.0471153846154,0.0,0.0471153846154,False,0.0471153846154,True,True,0.0471153846154,0.01,"[0.38572891072602944, 1.8667249810695647, -0.4257379460334778, 1.6453828340768815, 1.9881396961212159, -0.5251072978973389, 2.2842115569114685, 2.3365832203626633]","[0.0010155061027035117, 0.5790882706642151, 0.9471937417984009, 0.49779650568962097, 0.3961350917816162, 0.952495813369751, 0.27811920642852783, 0.2648073732852936]",0.9779098033905029,0.013742869719862938,"[""decay_090"", ""decay_095"", ""wait_light""]","[0, 1, 1, 1, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,empty-16-16,200,1,0,use_nonadditive,use_nonadditive,commit_heavy,commit_heavy,selected,True,True,True,1.14440611138,0.0,1.14440611138,0.1,0.0,0.1,False,1.14440611138,True,True,0.1,0.01,"[-0.034276629450032486, 2.2591333106160163, 0.8108692240715026, 0.8408920860290527, 0.42763246059417725, 0.3562963676452637, 0.34274366186524274, 0.4307926906784996]","[0.00019197474466636777, 0.1688852161169052, 0.6932076215744019, 0.6127054691314697, 0.791230320930481, 0.7757615447044373, 0.0002728469844441861, 0.00015788455493748188]",0.9350729584693909,0.027176134288311005,"[""commit_heavy"", ""block_light"", ""block_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair1,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,empty-16-16,200,1,1,use_nonadditive,use_nonadditive,block_heavy,decay_095,selected,False,True,True,0.125184820108,0.0,0.125184820108,0.1,0.0,0.1,False,0.116806308526,True,True,0.1,0.01,"[0.17532513731624932, 1.617569351196289, 1.7808325755596162, 1.295970231294632, 1.4630253994464875, -0.5810169696807861, 2.0050409877300264, 1.984410376548767]","[0.0006714493501931429, 0.7644283771514893, 0.6031609177589417, 0.6737872958183289, 0.6526018977165222, 0.9352481365203857, 0.6291695237159729, 0.6798579692840576]",0.9909103512763977,0.003929846454411745,"[""decay_095"", ""decay_090"", ""block_heavy""]","[0, 1, 0, 0, 0, 1, 0, 1]"
