agents,confidence_reason,context_id,finite_candidates_1000,finite_candidates_2000,iteration,label_class,map,margin_threshold,margin_vs_static_1000,margin_vs_static_2000,mid_500_used_as_bonus_only,normalized_context_key,oracle_1000,oracle_2000,oracle_250,oracle_500,primary_budget_ms,seed,sentinel_budget_ms,stable_static_or_abstain,stress_250_used_for_training_gate,target_candidate_id,traffic_before_hash_full,train_weight,training_eligible
100,1000/2000 agree on high-margin nonstatic oracle,maze-32-32-4|a100|s146|it0|repair5g55_counterfactual_static_context,7,7,0,stable_high_confidence_nonstatic,maze-32-32-4,0.0025,-0.005834601729999944,-0.005834601729999944,True,maze-32-32-4|a100|s146|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,146,2000,False,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,14650fb0739d0383,1.58346,True
100,1000/2000 agree on high-margin nonstatic oracle,maze-32-32-4|a100|s146|it0|repair5g55_counterfactual_static_context,7,7,0,stable_high_confidence_nonstatic,maze-32-32-4,0.005,-0.005834601729999944,-0.005834601729999944,True,maze-32-32-4|a100|s146|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,146,2000,False,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,14650fb0739d0383,1.58346,True
100,1000/2000 agree or nonstatic margin is too small,maze-32-32-4|a100|s146|it0|repair5g55_counterfactual_static_context,7,7,0,stable_static,maze-32-32-4,0.01,-0.005834601729999944,-0.005834601729999944,True,maze-32-32-4|a100|s146|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,146,2000,True,False,repair5g2_best_frozen_static_candidate,14650fb0739d0383,1.41654,True
100,1000/2000 agree or nonstatic margin is too small,maze-32-32-4|a100|s147|it0|repair5g55_counterfactual_static_context,5,5,0,stable_static,maze-32-32-4,0.0025,0.0,0.0,True,maze-32-32-4|a100|s147|it0|14650fb0739d0383,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,1000,147,2000,True,False,repair5g2_best_frozen_static_candidate,14650fb0739d0383,1.25,True
100,1000/2000 agree or nonstatic margin is too small,maze-32-32-4|a100|s147|it0|repair5g55_counterfactual_static_context,5,5,0,stable_static,maze-32-32-4,0.005,0.0,0.0,True,maze-32-32-4|a100|s147|it0|14650fb0739d0383,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,1000,147,2000,True,False,repair5g2_best_frozen_static_candidate,14650fb0739d0383,1.5,True
100,1000/2000 agree or nonstatic margin is too small,maze-32-32-4|a100|s147|it0|repair5g55_counterfactual_static_context,5,5,0,stable_static,maze-32-32-4,0.01,0.0,0.0,True,maze-32-32-4|a100|s147|it0|14650fb0739d0383,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,1000,147,2000,True,False,repair5g2_best_frozen_static_candidate,14650fb0739d0383,2.0,True
100,1000/2000 agree on high-margin nonstatic oracle,maze-32-32-4|a100|s148|it0|repair5g55_counterfactual_static_context,7,7,0,stable_high_confidence_nonstatic,maze-32-32-4,0.0025,-0.009350163630000186,-0.009350163630000186,True,maze-32-32-4|a100|s148|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,148,2000,False,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,14650fb0739d0383,1.935016,True
100,1000/2000 agree on high-margin nonstatic oracle,maze-32-32-4|a100|s148|it0|repair5g55_counterfactual_static_context,7,7,0,stable_high_confidence_nonstatic,maze-32-32-4,0.005,-0.009350163630000186,-0.009350163630000186,True,maze-32-32-4|a100|s148|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,148,2000,False,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,14650fb0739d0383,1.935016,True
100,1000/2000 agree or nonstatic margin is too small,maze-32-32-4|a100|s148|it0|repair5g55_counterfactual_static_context,7,7,0,stable_static,maze-32-32-4,0.01,-0.009350163630000186,-0.009350163630000186,True,maze-32-32-4|a100|s148|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,148,2000,True,False,repair5g2_best_frozen_static_candidate,14650fb0739d0383,1.064984,True
100,1000/2000 agree on high-margin nonstatic oracle,maze-32-32-4|a100|s149|it0|repair5g55_counterfactual_static_context,7,7,0,stable_high_confidence_nonstatic,maze-32-32-4,0.0025,-0.009124537609999983,-0.009124537609999983,True,maze-32-32-4|a100|s149|it0|14650fb0739d0383,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,,additive_ltm,1000,149,2000,False,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,14650fb0739d0383,1.912454,True
