candidate_id,registry_row_id,candidate_family,theta_cluster,selected_for_label_matrix,candidate_object,theta_hash,theta_in_bounds,distance_from_g556_c063174,goal_projection_mode,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c063174,g556_c063174,primary_g556_baseline,primary_g556_baseline,True,fixed_static_theta_baseline,theta_83695334029245,True,0,flow_shield,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g554_c00051,g554_c00051,diagnostic_g554_fixed_baseline,diagnostic_g554_fixed_baseline,False,fixed_static_theta_baseline,theta_73292293871785,True,1.86063844931,flow_shield,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,diagnostic_old_hand_staticflow,diagnostic_old_hand_staticflow,False,fixed_static_theta_baseline,theta_73292293871785,True,1.86063844931,flow_shield,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g59_additive_fallback,repair5g59_additive_fallback,diagnostic_additive_ltm,diagnostic_additive_ltm,False,fixed_static_theta_baseline,theta_43870544380768,True,6.10172136785,none,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False
g557_gcst_00000,g557_gcst_00000,gcst_topology_conditioned_prior,gcst_topology_conditioned_prior,True,bounded_static_theta_candidate,theta_08573911563884,True,0.489535969385,flow_shield,1.25,1.11140222247,1.25,0.75,0.75,1.0985972157,0.662661572818,1,1,0.697005759859,0.65,0.295400266736,0.886833601861,0.979285377056,11.0949433007,1,0,0,False,False,False,False,False
g557_gcst_00001,g557_gcst_00001,gcst_flow_pressure_residual,gcst_flow_pressure_residual,True,bounded_static_theta_candidate,theta_91010443925605,True,0.105811310283,flow_shield,1.25,1.15800417416,1.25,0.75,0.75,1.10421846741,0.650411291269,0.979935812493,1,0.684155364534,0.606587283523,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,False,False,False,False,False
g557_gcst_00002,g557_gcst_00002,gcst_bottleneck_guard,gcst_bottleneck_guard,True,bounded_static_theta_candidate,theta_11731409207929,True,0.319716260528,flow_shield,1.25,1.10816512285,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.366337079826,0.799153929888,1,11.5669875519,1,0,0,False,False,False,False,False
g557_gcst_00003,g557_gcst_00003,gcst_density_lookup_seed,gcst_density_lookup_seed,True,bounded_static_theta_candidate,theta_26828838093458,True,0.788908689382,flow_shield,1.25,1.23905868994,1.25,0.75,0.75,1.1301651554,0.641066693331,0.945873355829,1,0.653479326377,0.65,0.294553789425,0.762248359066,1,10.3031891338,1,0,0,False,False,False,False,False
g557_gcst_00004,g557_gcst_00004,map_family_lookup_control,map_family_lookup_control,True,bounded_static_theta_candidate,theta_76262310090915,True,0.623582610574,flow_shield,1.25,1.19989986408,1.25,0.75,0.75,1.15738248835,0.780827161468,1,1,0.734335095785,0.65,0.309421839668,0.827525089151,1,10.2597820215,1,0,0,False,False,False,False,False
g557_gcst_00005,g557_gcst_00005,tabular_only_control,tabular_only_control,True,bounded_static_theta_candidate,theta_15722090877254,True,1.0621787882,flow_shield,1.25,1.23905088377,1.25,0.75,0.75,0.894856586261,0.849443533797,1,1,0.550923442332,0.65,0.450169439128,0.997515089927,0.963308098441,11.3472001785,1,0,0,False,False,False,False,False
