context_id,topology_id,map_family,agent_count,density,bottleneck_score_proxy,feature_source,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,g557_topology_000_empty,empty,25,0.0244140625,0.217914074172,pre_run_only,False,False,False,False,False
g557_ctx_00000001,g557_topology_001_empty,empty,25,0.0108506944444,0.286335437329,pre_run_only,False,False,False,False,False
g557_ctx_00000002,g557_topology_002_empty,empty,25,0.09765625,0.314598930802,pre_run_only,False,False,False,False,False
g557_ctx_00000003,g557_topology_003_random,random,25,0.030525030525,0.129762900474,pre_run_only,False,False,False,False,False
g557_ctx_00000004,g557_topology_004_random,random,25,0.00763125763126,0.133726642547,pre_run_only,False,False,False,False,False
g557_ctx_00000005,g557_topology_005_random,random,25,0.0271444082519,0.120139319721,pre_run_only,False,False,False,False,False
g557_ctx_00000006,g557_topology_006_random,random,25,0.00678241996744,0.114237631525,pre_run_only,False,False,False,False,False
g557_ctx_00000007,g557_topology_007_maze,maze,25,0.033921302578,0.66486008028,pre_run_only,False,False,False,False,False
g557_ctx_00000008,g557_topology_008_maze,maze,25,0.030525030525,0.527938954122,pre_run_only,False,False,False,False,False
g557_ctx_00000009,g557_topology_009_maze,maze,25,0.00190737773709,0.42497476005,pre_run_only,False,False,False,False,False
g557_ctx_00000010,g557_topology_010_maze,maze,25,0.00254323499491,0.570938468123,pre_run_only,False,False,False,False,False
g557_ctx_00000011,g557_topology_011_room,room,25,0.0297973778308,0.407617894764,pre_run_only,False,False,False,False,False
g557_ctx_00000012,g557_topology_012_room,room,25,0.00744490768314,0.131524096952,pre_run_only,False,False,False,False,False
g557_ctx_00000013,g557_topology_013_room,room,25,0.00763125763126,0.166199577601,pre_run_only,False,False,False,False,False
g557_ctx_00000014,g557_topology_014_warehouse,warehouse,25,0.00250100040016,0.340037979924,pre_run_only,False,False,False,False,False
g557_ctx_00000015,g557_topology_015_warehouse,warehouse,25,0.00250100040016,0.651988856022,pre_run_only,False,False,False,False,False
g557_ctx_00000016,g557_topology_016_warehouse,warehouse,25,0.000659352252347,0.413234733531,pre_run_only,False,False,False,False,False
g557_ctx_00000017,g557_topology_017_warehouse,warehouse,25,0.000659352252347,0.353951502097,pre_run_only,False,False,False,False,False
g557_ctx_00000018,g557_topology_018_bottleneck,bottleneck,25,0.00939143501127,0.57053001894,pre_run_only,False,False,False,False,False
g557_ctx_00000019,g557_topology_019_bottleneck,bottleneck,25,0.00939143501127,0.516675276649,pre_run_only,False,False,False,False,False
g557_ctx_00000020,g557_topology_020_bottleneck,bottleneck,25,0.00984639621898,0.501857006286,pre_run_only,False,False,False,False,False
g557_ctx_00000021,g557_topology_021_bottleneck,bottleneck,25,0.00813802083333,0.576757906484,pre_run_only,False,False,False,False,False
g557_ctx_00000022,g557_topology_022_bottleneck,bottleneck,25,0.00813802083333,0.496788666423,pre_run_only,False,False,False,False,False
g557_ctx_00000023,g557_topology_023_bottleneck,bottleneck,25,0.00813802083333,0.669991770016,pre_run_only,False,False,False,False,False
g557_ctx_00000024,g557_topology_024_irregular,irregular,25,0.000476844434272,0.24801506397,pre_run_only,False,False,False,False,False
g557_ctx_00000025,g557_topology_025_irregular,irregular,25,0.000476844434272,0.397586214828,pre_run_only,False,False,False,False,False
g557_ctx_00000026,g557_topology_026_irregular,irregular,25,0.000476844434272,0.152026005948,pre_run_only,False,False,False,False,False
