context_id,topology_id,map,map_family,agent_count,density,start_goal_regime,pre_run_node_flow_prior_mean,pre_run_edge_flow_prior_p90,expected_edge_conflict_proxy,opposing_flow_ratio_proxy,flow_concentration_top5_percent,traffic_input_mode,uses_solver_probe,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,g557_topology_000_empty,empty-32-32,empty,25,0.0244140625,uniform_random,0.485799764338,0.65746336398,0.778961568639,0.288512622975,0.726700796598,P,False,False,False,False,False,False
g557_ctx_00000001,g557_topology_001_empty,empty-48-48,empty,25,0.0108506944444,uniform_random,0.295544002661,0.386514777595,0.471950259015,0.165493469013,0.637340925318,P,False,False,False,False,False,False
g557_ctx_00000002,g557_topology_002_empty,empty-16-16,empty,25,0.09765625,uniform_random,1,1,1,0.383167133666,0.303874692251,P,False,False,False,False,False,False
g557_ctx_00000003,g557_topology_003_random,random-32-32-20,random,25,0.030525030525,opposite_side_cross_flow,0.498318902263,0.708168622014,0.822124707252,0.456642486715,0.52906024188,P,False,False,False,False,False,False
g557_ctx_00000004,g557_topology_004_random,random-64-64-20,random,25,0.00763125763126,opposite_side_cross_flow,0.172840529044,0.246596438895,0.298270221335,0.164372071256,0.364112671775,P,False,False,False,False,False,False
g557_ctx_00000005,g557_topology_005_random,random-32-32-10,random,25,0.0271444082519,opposite_side_cross_flow,0.500591349306,0.68908633756,0.810204150406,0.657613484773,0.66828996342,P,False,False,False,False,False,False
g557_ctx_00000006,g557_topology_006_random,random-64-64-10,random,25,0.00678241996744,same_room_local_flow,0.113830774726,0.183714251153,0.217822655,0.0793152413695,0.205435639129,P,False,False,False,False,False,False
g557_ctx_00000007,g557_topology_007_maze,maze-32-32-4,maze,25,0.033921302578,same_room_local_flow,0.604535635976,0.833126451318,0.975150058112,0.0969643060714,0.74181001638,P,False,False,False,False,False,False
g557_ctx_00000008,g557_topology_008_maze,maze-32-32-2,maze,25,0.030525030525,same_room_local_flow,0.518686061529,0.728026602298,0.848602014297,0.125089549821,0.595253509493,P,False,False,False,False,False,False
g557_ctx_00000009,g557_topology_009_maze,maze-128-128-2,maze,25,0.00190737773709,room_to_room_door_bottleneck,0.135087708447,0.233726995479,0.304006483024,0.203425693149,0.664647320705,P,False,False,False,False,False,False
g557_ctx_00000010,g557_topology_010_maze,maze-128-128-10,maze,25,0.00254323499491,room_to_room_door_bottleneck,0.184473912029,0.285884444696,0.371006319615,0.365726668547,0.800354049292,P,False,False,False,False,False,False
g557_ctx_00000011,g557_topology_011_room,room-32-32-4,room,25,0.0297973778308,room_to_room_door_bottleneck,0.54711355488,0.811159196342,0.962356083799,0.124276151448,0.916021317957,P,False,False,False,False,False,False
g557_ctx_00000012,g557_topology_012_room,room-64-64-8,room,25,0.00744490768314,warehouse_aisle_to_aisle,0.229322412231,0.300492270329,0.370876729706,0.0688131623737,0.554946440107,P,False,False,False,False,False,False
g557_ctx_00000013,g557_topology_013_room,room-64-64-16,room,25,0.00763125763126,warehouse_aisle_to_aisle,0.267620939483,0.339007339073,0.421484754906,0.275065649869,0.672149005702,P,False,False,False,False,False,False
g557_ctx_00000014,g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,25,0.00250100040016,warehouse_aisle_to_aisle,0.168053328719,0.209608298022,0.269473729096,0.255518188964,0.548634302731,P,False,False,False,False,False,False
g557_ctx_00000015,g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,25,0.00250100040016,many_to_one_goal_clustered,0.21404803673,0.254453138333,0.32926684951,0.268238563523,0.698117103766,P,False,False,False,False,False,False
g557_ctx_00000016,g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,25,0.000659352252347,many_to_one_goal_clustered,0.154284734283,0.184581535116,0.243471304478,0.36668006664,0.575710648579,P,False,False,False,False,False,False
g557_ctx_00000017,g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,25,0.000659352252347,many_to_one_goal_clustered,0.0843988740549,0.116442821393,0.152619686182,0.117453965092,0.348581602837,P,False,False,False,False,False,False
