instance_uid,evaluation_uid,map,agent_count,solver_scenario_path,solver_scenario_sha256,actual_solver_scenario_from_instance_assignment,pre_audit_result
8d5f976985460083476b657ef8ada278e3a0cadf4498ba10556f481f751d184e,d6ea2512d1cb5a00e4222b3f290f2f22f1824ba13cadb17a408e9ec4f0134e94,g559-synth-string-40,128,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-string-40-random-7808.scen,4056a0e5cbd3373bea2be01e713a45900e5b54e14b6c9685552184c939909ee6,True,requires_actual_file_parse
ef809d20a19bdccee1a43d83e6691de9e1231a1dfc88e1f76ff9e39e85f507a3,5fca9695b57f8455584deff958fefc14651e7c7f1aa0cb8bb57b8d5e5f0424e3,g559-synth-tunnel-38,96,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-tunnel-38-random-8743.scen,c2daa7691f8440b15387cfb6ca075e421b686028cd447220cc4359b68b9b3573,True,requires_actual_file_parse
d690a367656b0931b81bea41d31ca3a7a20391b01a9da80728907cd5b08e90e8,71a11eb9eb1f7365b6a21092432617bd5d419e6617e94e65311b332549726b04,room-40-32-8,96,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-40-32-8-random-7369.scen,67eb60bcb3f6424016b3ebb2aa06bdbb31f11dd41c30cb1fbbc4b9a7b0dbf787,True,requires_actual_file_parse
9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,fee16dbe19eb8b31ca9ced7bc43bf84db6bbf63baf73ad76fb6f66ced86f888c,random-8-8-20,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-8-8-20-random-8467.scen,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,True,requires_actual_file_parse
8e6cac9e1605008b88ed2c046f629adf12f308442f99e7342cdcefa87be19961,4d92cddea0973a24001d5eac395095a553d19599896fe5318b2b15254c2dbdea,g559-synth-game-den-32,16,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-den-32-random-8602.scen,2f06408f9ee78ed8511a08add492a011952c271d39234874f78bde1b5e9dddba,True,requires_actual_file_parse
f6687e90a969bce165bd97f3ee3aade46c9f937830fe241e20b532a6f4dfdc80,32943994b1f15927ac782a3bb932db69eb2f81dc438cb34916cb3d42e020e85b,maze-36-32-4,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-36-32-4-random-7103.scen,fcbcacf7c543d8989f78e0ff6ce96f5a2b42a5489cf2dd26eb66df14f769dc6f,True,requires_actual_file_parse
7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,g559-synth-string-40,128,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-string-40-random-8240.scen,c5349f2f97d57bd06f2ce7eba7187dfb733f32254f0a00b228873d00d32d0590,True,requires_actual_file_parse
8894c845ef3cb87a6a651c7f5e4838c4f534d968ce3fdee9ab8d3dd59161adac,ed949760164176266f0991c247eddbe815126545782f33cf3ca66083e1284e85,random-32-32-20,256,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-20-random-7773.scen,170fc152b15c3373365c4ee82f9101215d3123a072cde29939600366f3e5f7bb,True,requires_actual_file_parse
cdbfe2fba25f023080bd45453c474b5d37d77a4dae0164f2a1c111a68452b720,d62d53755440d99d8098769b4666ad03816acfe0f88ebdc99b3bdd0c5ccda85d,g559-synth-loop-chain-36,64,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-loop-chain-36-random-8790.scen,e6ac7707e166c2796f1f6eae3ce849353af5c874b96026cea2ccc76e6ec419af,True,requires_actual_file_parse
83f9592ee2ca9c152d1e2ae4bb43a4f5ad8c5190a3ad5c4c19d775cbc679bf5c,38e540c629842999a47fada440fb928a91205bbe6647800fc0d686ca6acbb95e,g559-synth-string-40,128,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-string-40-random-8816.scen,ec2fccb6fb0d71d5d81eb760b96a6e986f3ea9a1f230a29ebd167b63cdbc6cad,True,requires_actual_file_parse
3b8585ad363af7b07caa70b5d91595ba57038235337487cffded4220da2890c5,c9859e4bb23500c10050f1bc3fe9b83ff8be1a6ab75fdbd0b2162af777c58a63,maze-32-32-2,16,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-32-32-2-random-8350.scen,8221002252d4301ecbff6a4831f1c9629dabd01b321b165290956be583b54367,True,requires_actual_file_parse
c9a738e41fad0fb2ab420cda6d0ed203ff954aa7e4cedcd5998030c293744abc,b44ff85dc7d27b068bee0f760aff1765b377c359aec2937b6a7fbeb307098c28,g559-synth-game-den-32,16,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-den-32-random-7354.scen,f71cd0e4ef678c0ff3ddda4024ef3b864824ae190266bf4ceef54bd602f1135c,True,requires_actual_file_parse
583c669bced5b19bfe3680b8947207096db559c84a27e159a0974b85c92573b4,ffd4a74c79d06bf1507df78dbf80c01c4d1ea3b6a72863ac27b4ecc9834865a4,g559-synth-game-lak-32,256,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-lak-32-random-8631.scen,854af8e535bf1d97391a4ced1e9117a6217ae952ac92033ddbb6cb5247e4bd31,True,requires_actual_file_parse
